Stock quote and option quote for SPX on 1/24/23 12:00:55

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
4010.80, ,-9.01,4009.80, ,4011.46, ,<empty>,<empty>,4001.74,4019.79,3989.79

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,<empty>,<empty>,<empty>,--,,4637.30,3491.58,0,1.0

15 DEC 23  (324)  100

29 DEC 23  (339)  100 (Quarterlys)

19 JAN 24  (359)  100

16 FEB 24  (387)  100

15 MAR 24  (415)  100

21 JUN 24  (513)  100

20 DEC 24  (695)  100

19 DEC 25  (1059)  100

18 DEC 26  (1423)  100

17 DEC 27  (1787)  100
